"","sssdistrict","ssslong","ssslat"
"3168","Shama Ahanta East",NA,NA
"3169","Offinso",NA,NA
"3170","Adaklu-Anyigbe",NA,NA
"3171","Amenfi West",NA,NA
"3172","Sekyere East",NA,NA
"3173","Ga East (Abokobi)",-0.241145879030228,5.72114276885986
"3174","Bosomtwe/Atwima/ Kwanwoma",NA,NA
"3175","Birim South",NA,NA
"3176","Akwapim South",NA,NA
"3177","Asante Akim South",NA,NA
"3178","Adansi South",NA,NA
"3179","Wassa Amenfi (Asankragwa)",-2.3020179271698,5.72551774978638
"3180","Accra Metro",NA,NA
"3181","Kumasi Metro",NA,NA
"3182","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"3183","Jaman South",NA,NA
"3184","Kumasi Metro",NA,NA
"3185","Accra Metropolitan",-0.197115257382393,5.6073956489563
