"","sssdistrict","ssslong","ssslat"
"2641","KUMASI METRO",NA,NA
"2642","Kwahu West Municipal",NA,NA
"2643","Accra Metro",NA,NA
"2644","Ejisu Juaben",NA,NA
"2645","Edina/Komm/ Eguafo",NA,NA
"2646","Kasena-Nankani",NA,NA
"2647","New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"2648","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"2649","Akwapim North",NA,NA
"2650","South Dayi",NA,NA
"2651","Sefwi Wiawso",NA,NA
"2652","Bawku East",NA,NA
"2653","Kpando",0.267385125160217,6.89685153961182
"2654","Kumasi Metro",NA,NA
"2655","Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"2656","Akwapim South",NA,NA
"2657","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2658","Cape Coast",NA,NA
"2659","Tema",-0.0500882156193256,5.69031476974487
"2660","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2661","Sekyere East",NA,NA
"2662","Sunyani",-2.3274233341217,7.34467792510986
"2663","Shama Ahanta East",NA,NA
"2664","Bosomtwe",NA,NA
"2665","New Juaben",NA,NA
"2666","Assin North (Assin Fosu)",-1.37461698055267,5.77799510955811
"2667","Sunyani Municipal",NA,NA
"2668","",NA,NA
"2669","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"2670","Assin North",NA,NA
"2671","East Akim (Kibi)",-0.454344213008881,6.17855787277222
"2672","",NA,NA
"2673","East Akim",NA,NA
"2674","Cape Coast",NA,NA
"2675","Obuasi Municipal",NA,NA
"2676","Aowin Suaman (Enchi)",-2.78972434997559,5.78654623031616
"2677","Ajumako/ Enyan/Esiam",NA,NA
"2678","Suhum/Kraboa Coaltar",NA,NA
"2679","Asunafo North",NA,NA
"2680","Jasikan",NA,NA
"2681","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2682","Shama Ahanta East",NA,NA
"2683","",NA,NA
"2684","Cape Coast",NA,NA
"2685","Adansi South",NA,NA
"2686","YILO KROBO",NA,NA
"2687","Wa Municipal",NA,NA
"2688","Kintampo",-1.54442632198334,8.37111854553223
"2689","Fanteakwa",NA,NA
"2690","Amenfi West",NA,NA
"2691","Afigya Sekyere",NA,NA
"2692","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2693","Manya Krobo",NA,NA
"2694","Akwapim North",NA,NA
"2695","Edina/Komm/ Eguafo",NA,NA
"2696","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2697","Accra Metro",NA,NA
"2698","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2699","Ketu (Denu)",1.03270864486694,6.11122751235962
"2700","Sunyani",-2.3274233341217,7.34467792510986
"2701","Jirapa/ Lambussie",NA,NA
"2702","Manya Krobo",NA,NA
"2703","Bibiani/Anhwiaso/ Bekwai",NA,NA
"2704","",NA,NA
"2705","Kasena-Nankani",NA,NA
"2706","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2707","Shama Ahanta East",NA,NA
"2708","New Juaben",NA,NA
"2709","Bole",NA,NA
"2710","Ketu",NA,NA
"2711","Dormaa",NA,NA
"2712","Bawku East",NA,NA
"2713","Kadjebi",NA,NA
"2714","Afigya Sekyere",NA,NA
"2715","Krachi West",NA,NA
"2716","Birim North",NA,NA
"2717","Birim South",NA,NA
"2718","Ashaiman Municipal",NA,NA
"2719","Techiman Municipal",NA,NA
"2720","Accra Metro",NA,NA
"2721","TANO SOUTH",NA,NA
"2722","Manya Krobo",NA,NA
"2723","Abura/Asebu/ Kwaman",NA,NA
"2724","Berekum",NA,NA
"2725","West Mamprusi",NA,NA
"2726","West Gonja",NA,NA
"2727","Birim North",NA,NA
"2728","Bawku East",NA,NA
"2729","Ga Central Municipal",NA,NA
"2730","Kassena/Nankani (Navrongo)",-1.21744096279144,10.9094228744507
"2731","Ga East",NA,NA
"2732","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"2733","Accra Metro",NA,NA
"2734","Kumasi Metro",NA,NA
"2735","Dangme West",NA,NA
"2736","Shama Ahanta East",NA,NA
"2737","Asunafo North",NA,NA
"2738","Ketu",NA,NA
"2739","Gushegu",NA,NA
"2740","North Tongu",NA,NA
"2741","Abura/Asebu/ Kwaman",NA,NA
"2742","Ho Municipal",0.526142239570618,6.71760702133179
